family,n,mean_runtime,mean_colors,timeouts
DSJC1000.1,1,20312.773,22.0,0
DSJC1000.5,1,,,1
DSJC1000.9,1,,,1
DSJC125.1,1,17.21,6.0,0
DSJC125.5,1,198.944,18.0,0
DSJC125.9,1,373.655,51.0,0
DSJC250.1,1,168.156,9.0,0
DSJC250.5,1,1926.671,31.0,0
DSJC250.9,1,3642.389,79.0,0
DSJC500.1,1,1120.842,14.0,0
DSJC500.5,1,29173.136,54.0,0
DSJC500.9,1,,,1
DSJR500.1,1,269.618,12.0,0
DSJR500.1c,1,43120.134,92.0,0
DSJR500.5,1,13341.096,138.0,0
anna,1,21.419,11.0,0
barabasi_albert,10,1031.8824,6.0,0
bipartite,5,174.986,2.0,0
complete,5,19.7518,30.6,0
david,1,10.582,11.0,0
erdos_renyi,11,28166.443,26.77777777777778,2
flat1000,3,,,3
flat300,3,12660.046333333332,29.0,0
fpsol2.i.1,1,1486.155,65.0,0
fpsol2.i.2,1,992.49,30.0,0
fpsol2.i.3,1,876.336,30.0,0
games120,1,11.639,9.0,0
grid,5,6.2268,2.8,0
homer,1,9.827,13.0,0
huck,1,5.818,11.0,0
inithx.i.1,1,3444.634,54.0,0
inithx.i.2,1,1758.267,31.0,0
inithx.i.3,1,1753.556,31.0,0
jean,1,5.244,10.0,0
latin,1,,,1
le450,12,3028.0024166666667,16.5,0
miles1000,1,94.958,44.0,0
miles1500,1,298.728,74.0,0
miles250,1,10.622,8.0,0
miles500,1,36.474,20.0,0
miles750,1,52.212,32.0,0
mulsol.i.1,1,168.707,49.0,0
mulsol.i.2,1,230.532,31.0,0
mulsol.i.3,1,199.747,31.0,0
mulsol.i.4,1,191.572,31.0,0
mulsol.i.5,1,155.114,31.0,0
myciel3,1,0.677,4.0,0
myciel4,1,1.458,5.0,0
myciel5,1,5.93,6.0,0
myciel6,1,11.942,7.0,0
myciel7,1,62.435,8.0,0
planar,5,50.825599999999994,3.2,0
queen10,1,47.453,12.0,0
queen11,1,73.373,13.0,0
queen12,1,116.732,14.0,0
queen13,1,149.552,15.0,0
queen14,1,244.78,16.0,0
queen15,1,388.753,17.0,0
queen16,1,519.526,18.0,0
queen5,1,9.471,5.0,0
queen6,1,13.377,7.0,0
queen7,1,15.779,8.0,0
queen8,2,29.0825,11.0,0
queen9,1,32.055,11.0,0
school1,2,7947.045,14.0,0
tree,5,96.20519999999999,3.0,0
watts_strogatz,10,4729.008199999999,18.6,0
zeroin.i.1,1,229.729,49.0,0
zeroin.i.2,1,192.2,30.0,0
zeroin.i.3,1,196.884,31.0,0
